real_time_ms [ms],sim_time_ms [ms],timestamp_ms [ms],publish_time [ms],distance_traveled [m],battery_consumption [%],min_obstacle_distance [m],goal_reached,distance_to_goal [m]
1780134371443,63900,63900,0,0.0200398,4.83035e-05,0.889096,0,3.07373
1780134372444,64200,64200,0,0.0792786,0.000116631,0.865299,0,3.01584
1780134373443,64500,64500,0,0.13943,0.000196523,0.769361,0,2.9561
1780134374472,64700,64700,0,0.188997,0.000276539,0.722345,0,2.90917
1780134375460,64900,64900,0,0.253738,0.000362002,0.681531,0,2.85416
1780134376437,65400,65400,0,0.372249,0.00044736,0.553199,0,2.77443
1780134377439,66200,66200,0,0.575609,0.000533105,0.480019,0,2.6971
1780134378438,66900,66900,0,0.745195,0.000618999,0.535836,0,2.66649
1780134379439,67700,67700,0,0.954617,0.000704924,0.880953,0,2.64253
1780134380439,68500,68500,0,1.12755,0.000774761,0.773986,0,2.62879
1780134381439,68900,68900,0,1.2361,0.000860674,0.708796,0,2.62313
1780134382442,69300,69300,0,1.32795,0.000941308,0.650775,0,2.62053
1780134383439,69700,69700,0,1.43705,0.00102194,0.589144,0,2.61613
1780134384460,70200,70200,0,1.54616,0.00110797,0.537835,0,2.60879
1780134385439,70600,70600,0,1.65587,0.00118867,0.499962,0,2.59717
1780134386474,71000,71000,0,1.76455,0.00127472,0.448871,0,2.57702
1780134387450,71400,71400,0,1.85927,0.00136081,0.406264,0,2.55198
1780134388470,71700,71700,0,1.91731,0.00143539,0.397231,0,2.53284
1780134389446,72100,72100,0,2.02498,0.00152001,0.367088,0,2.48915
1780134390451,72400,72400,0,2.10962,0.00160608,0.342644,0,2.44853
1780134391452,72800,72800,0,2.20082,0.00168943,0.322813,0,2.39967
1780134392461,73200,73200,0,2.29376,0.0017755,0.318236,0,2.34526
1780134393450,73600,73600,0,2.40163,0.00186144,0.339056,0,2.27802
1780134394463,74200,74200,0,2.53859,0.00194215,0.435175,0,2.19322
1780134395458,74600,74600,0,2.63201,0.00202801,0.533771,0,2.13616
1780134396445,75000,75000,0,2.74368,0.00211378,0.574519,0,2.07424
1780134397442,75400,75400,0,2.82453,0.00219953,0.598868,0,2.03677
1780134398444,75600,75600,0,2.88347,0.00228523,0.620379,0,2.01468
1780134399460,76200,76200,0,3.01953,0.00236558,0.627307,0,1.98445
1780134400449,76500,76500,0,3.08785,0.00244049,0.620318,0,1.98072
1780134401437,76900,76900,0,3.15145,0.00248333,0.558551,0,1.98468
1780134402442,77400,77400,0,3.20873,0.00249969,0.512474,0,1.99394
1780134403440,77900,77900,0,3.2095,0.00249979,0.515114,0,1.99395
1780134404438,78500,78500,0,3.20975,0.00249991,0.509661,0,1.99387
1780134405438,78800,78800,0,3.20983,0.0025,0.517946,0,1.99386
1780134406447,78900,78900,0,3.2099,0.00250008,0.512049,0,1.99384
1780134407442,79200,79200,0,3.21018,0.00250064,0.508074,0,1.99368
1780134408444,79400,79400,0,3.21057,0.00250129,0.521501,0,1.9934
1780134409468,79600,79600,0,3.21077,0.00250194,0.51373,0,1.99324
1780134410441,79800,79800,0,3.21128,0.00250259,0.511046,0,1.99277
1780134411445,80000,80000,0,3.21161,0.00250324,0.513481,0,1.99245
1780134412499,80200,80200,0,3.212,0.00250389,0.502651,0,1.99206
1780134413440,80400,80400,0,3.2123,0.00250414,0.506338,0,1.99176
1780134414445,80600,80600,0,3.21246,0.0025046,0.505908,0,1.99186
1780134415478,80700,80700,0,3.21261,0.00250499,0.50132,0,1.992
1780134416441,80800,80800,0,3.21275,0.00250532,0.50132,0,1.99215
1780134417462,81100,81100,0,3.22644,0.00253817,0.506779,0,2.00572
1780134418443,81400,81400,0,3.23071,0.00253841,0.493988,0,2.00988
1780134419519,81500,81500,0,3.2308,0.00253857,0.500922,0,2.00997
1780134420441,81800,81800,0,3.23089,0.00253873,0.504867,0,2.01005
1780134421446,82100,82100,0,3.23101,0.00253876,0.503316,0,2.01016
1780134422446,82400,82400,0,3.23103,0.00253877,0.506054,0,2.01017
1780134423462,82700,82700,0,3.23104,0.00253878,0.501547,0,2.01017
1780134424445,83000,83000,0,3.23105,0.00253878,0.487092,0,2.01017
1780134425453,83200,83200,0,3.23105,0.00253879,0.50022,0,2.01017
1780134426442,83500,83500,0,3.23105,0.00253879,0.498619,0,2.01017
1780134427455,83900,83900,0,3.23106,0.00253879,0.502021,0,2.01017
1780134428503,84200,84200,0,3.23106,0.0025388,0.495151,0,2.01017
1780134429453,84500,84500,0,3.23106,0.0025388,0.505471,0,2.01017
1780134430445,84800,84800,0,3.23107,0.0025388,0.487388,0,2.01017
